slug,url,status,h1,has_hero,has_romans
laser-co2-fraccionado-madrid-textura-cicatrices-poro/,https://staging2.nuvanx.com/laser-co2-fraccionado-madrid-textura-cicatrices-poro/,200,"Láser CO₂ fraccionado en Madrid: textura, poros y cicatrices de acné",No,No
exion-btl/,https://staging2.nuvanx.com/exion-btl/,200,EXION® BTL en Madrid,No,No
exion-face/,https://staging2.nuvanx.com/exion-face/,200,EXION® Face en Madrid: radiofrecuencia y ultrasonido,No,No
exion-fractional/,https://staging2.nuvanx.com/exion-fractional/,200,"EXION® Fractional RF en Madrid: arrugas profundas, cicatrices y textura",No,No
exion-body/,https://staging2.nuvanx.com/exion-body/,200,EXION® Body en Madrid: contorno corporal y calidad cutánea,No,No
emfusion/,https://staging2.nuvanx.com/emfusion/,200,EMFUSION® en Madrid: hidratación profunda y luminosidad cutánea,No,No
btl-exilite-ipl-madrid/,https://staging2.nuvanx.com/btl-exilite-ipl-madrid/,200,"IPL médica para manchas, rojeces y calidad de piel.",No,No
medicina-estetica-laser/,https://staging2.nuvanx.com/medicina-estetica-laser/,200,Medicina Estética Láser Avanzada en Madrid,No,No
medicina-estetica/,https://staging2.nuvanx.com/medicina-estetica/,200,Medicina Estética Avanzada con Criterio Clínico,No,No
estetica-avanzada/,https://staging2.nuvanx.com/estetica-avanzada/,200,"Planes clínicos que conectan diagnóstico, tecnología y seguimiento",No,No
bioestimuladores-colageno-madrid/,https://staging2.nuvanx.com/bioestimuladores-colageno-madrid/,200,Bioestimuladores de colágeno en Madrid,No,No
ojeras-surco-lagrimal-madrid/,https://staging2.nuvanx.com/ojeras-surco-lagrimal-madrid/,200,Tratamiento de ojeras y surco lagrimal en Madrid,No,No
rinomodelacion-sin-cirugia-madrid/,https://staging2.nuvanx.com/rinomodelacion-sin-cirugia-madrid/,200,Rinomodelación con ácido hialurónico en Madrid,No,No
labios-acido-hialuronico-madrid/,https://staging2.nuvanx.com/labios-acido-hialuronico-madrid/,200,Ácido hialurónico en labios en Madrid,No,No
remodelacion-corporal-laser-madrid/,https://staging2.nuvanx.com/remodelacion-corporal-laser-madrid/,200,Remodelación corporal láser diseñada según tu anatomía.,No,No
tratamiento-postparto-abdomen-contorno-corporal-madrid/,https://staging2.nuvanx.com/tratamiento-postparto-abdomen-contorno-corporal-madrid/,200,Tratamiento postparto: abdomen y contorno corporal en Madrid.,No,No
papada-definicion-mandibular-madrid/,https://staging2.nuvanx.com/papada-definicion-mandibular-madrid/,200,Tratamiento médico de papada y definición mandibular en Madrid.,No,No
calidad-piel-firmeza-luminosidad-madrid/,https://staging2.nuvanx.com/calidad-piel-firmeza-luminosidad-madrid/,200,"Tratamiento médico para firmeza, densidad y calidad cutánea.",No,No
cicatrices-acne-poros-textura-madrid/,https://staging2.nuvanx.com/cicatrices-acne-poros-textura-madrid/,200,"Tratamiento médico de cicatrices, poros dilatados y textura cutánea.",No,No
manchas-rojeces-fotorejuvenecimiento-ipl-madrid/,https://staging2.nuvanx.com/manchas-rojeces-fotorejuvenecimiento-ipl-madrid/,200,"Tratamiento médico de manchas, rojeces y daño solar.",No,No
grasa-localizada-abdomen-flancos-madrid/,https://staging2.nuvanx.com/grasa-localizada-abdomen-flancos-madrid/,200,Esa grasa del abdomen que no se va ni a dieta ni a gimnasio.,No,No
flacidez-grasa-localizada-brazos-madrid/,https://staging2.nuvanx.com/flacidez-grasa-localizada-brazos-madrid/,200,Para que la manga caiga bien — sin que la piel quede colgando después.,No,No
grasa-espalda-zona-sujetador-madrid/,https://staging2.nuvanx.com/grasa-espalda-zona-sujetador-madrid/,200,"El pliegue que marca la ropa, aunque tu peso esté bien.",No,No
flacidez-muslos-internos-subgluteo-madrid/,https://staging2.nuvanx.com/flacidez-muslos-internos-subgluteo-madrid/,200,La piel más delicada del cuerpo merece el abordaje más cuidadoso.,No,No
tratamiento-rodillas-grasa-flacidez-madrid/,https://staging2.nuvanx.com/tratamiento-rodillas-grasa-flacidez-madrid/,200,Una zona pequeña que cambia toda la línea de la pierna.,No,No
contorno-corporal-masculino-madrid/,https://staging2.nuvanx.com/contorno-corporal-masculino-madrid/,200,"Pensado para el cuerpo de un hombre, no adaptado del de una mujer.",No,No
gracias/,https://staging2.nuvanx.com/gracias/,200,Gracias por contactar con NUVANX,No,No
politica-de-cookies-ue/,https://staging2.nuvanx.com/politica-de-cookies-ue/,200,Política de cookies (UE),No,No
politica-privacidad/,https://staging2.nuvanx.com/politica-privacidad/,200,Política de privacidad,No,No
aviso-legal/,https://staging2.nuvanx.com/aviso-legal/,200,Aviso legal,No,No
politica-de-cookies/,https://staging2.nuvanx.com/politica-de-cookies/,200,Política de cookies (UE),No,No
mas-informacion-sobre-las-cookies/,https://staging2.nuvanx.com/mas-informacion-sobre-las-cookies/,200,Política de cookies (UE),No,No
casos-de-pacientes/,https://staging2.nuvanx.com/casos-de-pacientes/,200,Evoluciones clínicas documentadas con contexto,No,No
tratamientos/,https://staging2.nuvanx.com/tratamientos/,200,Soluciones médico-estéticas según lo que quieres mejorar,No,No
