slug,gap_tipo_existencia,prod_status,stag_status,gap_tipo_h1,prod_h1,stag_h1,gap_tipo_price,prod_price,stag_price,gap_tipo_faq,prod_faq,stag_faq,prod_canonical,stag_canonical,prod_robots,stag_robots,prod_doctor,stag_doctor,prod_schema,stag_schema
flacidez-grasa-localizada-brazos-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
grasa-espalda-zona-sujetador-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
flacidez-muslos-internos-subgluteo-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
tratamiento-rodillas-grasa-flacidez-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
contorno-corporal-masculino-madrid/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
gracias/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
politica-de-cookies-ue/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
politica-privacidad/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
aviso-legal/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
politica-de-cookies/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
mas-informacion-sobre-las-cookies/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
casos-de-pacientes/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
tratamientos/,coincide,Error,Error,contenido_falta_ambos,N/D,N/D,contenido_falta_ambos,N/D,N/D,coincide,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
