slug,gap_tipo,prod_status,stag_status,prod_h1,stag_h1,prod_price,stag_price,prod_faq,stag_faq,prod_canonical,stag_canonical,prod_robots,stag_robots,prod_doctor,stag_doctor,prod_schema,stag_schema
papada-definicion-mandibular-madrid/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
calidad-piel-firmeza-luminosidad-madrid/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
cicatrices-acne-poros-textura-madrid/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
manchas-rojeces-fotorejuvenecimiento-ipl-madrid/,inconsistente,202,Error,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
grasa-localizada-abdomen-flancos-madrid/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
flacidez-grasa-localizada-brazos-madrid/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
grasa-espalda-zona-sujetador-madrid/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
flacidez-muslos-internos-subgluteo-madrid/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
tratamiento-rodillas-grasa-flacidez-madrid/,inconsistente,Error,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
contorno-corporal-masculino-madrid/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
gracias/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
politica-de-cookies-ue/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
politica-privacidad/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
aviso-legal/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
politica-de-cookies/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
mas-informacion-sobre-las-cookies/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
casos-de-pacientes/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
tratamientos/,inconsistente,202,202,N/D,N/D,N/D,N/D,No,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
