catalogue_key,treatment_id,id_mapping_status,nombre,categoria,indicacion,tecnologia_producto,url_produccion,url_status,redirect,indexacion,sede,precio,visibilidad_precio,reserva_online,whatsapp,doctoralia,doctor_asociado,solapamiento_o_duplicado,last_validated,evidence_sources
C11,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,BTL EXILITE™ IPL,Tecnología · IPL,"Manchas, rojeces y calidad de piel",BTL EXILITE™ IPL,https://nuvanx.com/btl-exilite-ipl-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Tecnología que puede formar parte de C15 Tone Correction.,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
C12,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,NUVANX Profile Definition™,Protocolo Signature · rostro y cuello,Papada y línea mandibular,Protocolo de diagnóstico; técnica según valoración,https://nuvanx.com/papada-definicion-mandibular-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,No duplicado técnico; comparte intención de papada/mandíbula con C01.,2026-08-04,Sitemap; soluciones médicas; protocolos Signature; SERP de papada; Doctoralia; Google Maps
C13,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,NUVANX Skin Architecture™,Protocolo Signature · piel,"Firmeza, densidad y calidad cutánea",Protocolo de diagnóstico; técnica según valoración,https://nuvanx.com/calidad-piel-firmeza-luminosidad-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Protocolo de solución; se relaciona con C04/C05.,2026-08-04,Sitemap; soluciones médicas; protocolos Signature; Doctoralia; Google Maps
C14,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,NUVANX Surface Renewal™,Protocolo Signature · piel,"Cicatrices de acné, poros y textura",Protocolo de diagnóstico; técnica según valoración,https://nuvanx.com/cicatrices-acne-poros-textura-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Protocolo de solución; comparte territorio clínico con C03/C06.,2026-08-04,Sitemap; soluciones médicas; protocolos Signature; Doctoralia; Google Maps
C15,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,NUVANX Tone Correction™,Protocolo Signature · piel,"Manchas, rojeces y fotodaño",Protocolo de diagnóstico; luz/láser según valoración,https://nuvanx.com/manchas-rojeces-fotorejuvenecimiento-ipl-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Protocolo de solución; se relaciona con C11.,2026-08-04,Sitemap; soluciones médicas; protocolos Signature; Doctoralia; Google Maps
C16,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,NUVANX Contour · abdomen y flancos,Contour Architecture™ · corporal,"Grasa localizada, laxitud, estrías y pared abdominal",Protocolo de diagnóstico; tecnología según valoración,https://nuvanx.com/grasa-localizada-abdomen-flancos-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Solución por zona; se relaciona con C02 y la página marco de Contour Architecture.,2026-08-04,Sitemap; soluciones médicas; Doctoralia; Google Maps; Meta Ad Library (señal Endolift abdominal)
C17,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,NUVANX Contour · brazos y continuidad axilar,Contour Architecture™ · corporal,"Grasa localizada, laxitud posterior y continuidad con axila/torso",Protocolo de diagnóstico; tecnología según valoración,https://nuvanx.com/flacidez-grasa-localizada-brazos-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Solución por zona; se relaciona con C02.,2026-08-04,Sitemap; soluciones médicas; Doctoralia; Google Maps
C18,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,NUVANX Contour · espalda y zona del sujetador,Contour Architecture™ · corporal,"Pliegues, grasa/laxitud y continuidad con brazos/flancos",Protocolo de diagnóstico; tecnología según valoración,https://nuvanx.com/grasa-espalda-zona-sujetador-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Solución por zona; se relaciona con C02.,2026-08-04,Sitemap; soluciones médicas; Doctoralia; Google Maps
C19,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,NUVANX Contour · muslos y región subglútea,Contour Architecture™ · corporal,"Laxitud, grasa localizada, celulitis estructural y continuidad inferior",Protocolo de diagnóstico; tecnología según valoración,https://nuvanx.com/flacidez-muslos-internos-subgluteo-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Solución por zona; se relaciona con C02.,2026-08-04,Sitemap; soluciones médicas; Doctoralia; Google Maps
C20,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,NUVANX Contour · rodillas,Contour Architecture™ · corporal,"Grasa localizada, laxitud y relación con muslo/pierna",Protocolo de diagnóstico; tecnología según valoración,https://nuvanx.com/tratamiento-rodillas-grasa-flacidez-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Solución por zona; se relaciona con C02.,2026-08-04,Sitemap; soluciones médicas; Doctoralia; Google Maps
C21,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,NUVANX Post-Maternity Contour™,Protocolo Signature · corporal,"Cambios posgestacionales: abdomen, flancos y calidad de tejido",Protocolo de diagnóstico; tecnología según valoración,https://nuvanx.com/tratamiento-postparto-abdomen-contorno-corporal-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Solución por contexto clínico; se relaciona con C16.,2026-08-04,Sitemap; soluciones médicas; protocolos Signature; Doctoralia; Google Maps
C22,N/D — mapeo T01–T22 no suministrado,N/D — el mapeo original T01–T22 no estaba disponible en los materiales suministrados,NUVANX Male Contour,Planificación específica · corporal,Contorno corporal masculino,Protocolo de diagnóstico; tecnología según valoración,https://nuvanx.com/contorno-corporal-masculino-madrid/,200,No detectado,"Declarada: index, follow; indexación efectiva en Google no verificada",N/D (la disponibilidad por tratamiento y sede no se declara de forma específica),N/D,No se detectó importe explícito en la landing,"Sí, vía valoración médica genérica","Sí, enlace visible",Ficha de clínica verificada; sin enlace directo desde la landing de tratamiento,N/D,Solución por contexto anatómico; no se observó duplicado de URL.,2026-08-04,Sitemap; soluciones médicas; Doctoralia; Google Maps
