catalogue_key,treatment_id,demanda,demanda_source,intencion_principal,intencion_detalle,serp_tipo,serp_notas,maps_visibilidad,maps_notas,geo_ai_presencia,geo_ai_notas,competidores_principales,competencia_fuerza,activos_nuvanx,reviews_volumen,reviews_relevancia,gap_principal,conversion_estado,conversion_notas,ticket,potencial,situacion_actual,prioridad,prioridad_justificacion,opportunity_score,confidence,last_validated,evidence_sources
C11,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,"Manchas, rojeces y calidad de piel",N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P3,"P3: tecnología publicada; sin evidencia suficiente de demanda, ticket o conversión.",N/D,baja,2026-08-04,Sitemap; landing de producción; Doctoralia; Google Maps
C12,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,Papada y línea mandibular,organic,Búsqueda externa mostró la URL de NUVANX y varios competidores de papada/definición mandibular; posición no verificada.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,Dra. Elena Berezo | Dr. Castro Sierra | Clínica Gómez Bravo | Dorsia,alta,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,competencia domina SERP,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P1,P1 preliminar: prioridad estratégica indicada en el encargo y presencia orgánica candidata; la SERP muestreada presenta competencia alta.,N/D,media,2026-08-04,Sitemap; soluciones médicas; protocolos Signature; SERP de papada; Doctoralia; Google Maps
C13,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",mixta,"Firmeza, densidad y calidad cutánea",N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P3,"P3: protocolo publicado; sin evidencia suficiente de demanda, ticket o conversión.",N/D,baja,2026-08-04,Sitemap; soluciones médicas; protocolos Signature; Doctoralia; Google Maps
C14,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,"Cicatrices de acné, poros y textura",N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P2,"P2: potencial indicado en el encargo; landing publicada, pero sin volumen, ticket ni conversión verificables.",N/D,baja,2026-08-04,Sitemap; soluciones médicas; protocolos Signature; Doctoralia; Google Maps
C15,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",mixta,"Manchas, rojeces y fotodaño",N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P3,"P3: protocolo publicado; sin evidencia suficiente de demanda, ticket o conversión.",N/D,baja,2026-08-04,Sitemap; soluciones médicas; protocolos Signature; Doctoralia; Google Maps
C16,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,"Grasa localizada, laxitud, estrías y pared abdominal",N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps; señal Meta de Endolift abdominal.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P2,"P2: potencial indicado en el encargo; landing por zona y señal publicitaria de Endolift abdominal, sin datos críticos completos.",N/D,media,2026-08-04,Sitemap; soluciones médicas; Doctoralia; Google Maps; Meta Ad Library (señal Endolift abdominal)
C17,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,"Grasa localizada, laxitud posterior y continuidad con axila/torso",N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P2,P2: solución Contour publicada; sin datos críticos completos.,N/D,baja,2026-08-04,Sitemap; soluciones médicas; Doctoralia; Google Maps
C18,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,"Pliegues, grasa/laxitud y continuidad con brazos/flancos",N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P2,P2: solución Contour publicada; sin datos críticos completos.,N/D,baja,2026-08-04,Sitemap; soluciones médicas; Doctoralia; Google Maps
C19,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,"Laxitud, grasa localizada, celulitis estructural y continuidad inferior",N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P2,P2: solución Contour publicada; sin datos críticos completos.,N/D,baja,2026-08-04,Sitemap; soluciones médicas; Doctoralia; Google Maps
C20,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,"Grasa localizada, laxitud y relación con muslo/pierna",N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P2,P2: solución Contour publicada; sin datos críticos completos.,N/D,baja,2026-08-04,Sitemap; soluciones médicas; Doctoralia; Google Maps
C21,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,"Cambios posgestacionales: abdomen, flancos y calidad de tejido",N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P2,P2: protocolo Signature publicado; sin datos críticos completos.,N/D,baja,2026-08-04,Sitemap; soluciones médicas; protocolos Signature; Doctoralia; Google Maps
C22,N/D — mapeo T01–T22 no suministrado,N/D,"N/D — no se dispuso de Keyword Planner, GSC ni otro volumen verificable",comercial,Contorno corporal masculino,N/D,N/D — no se obtuvo una comprobación SERP reproducible para esta intención.,N/D,Fichas de marca verificadas en Chamberí y Salamanca–Goya; visibilidad para intención genérica de tratamiento no testada.,no_testado,No se ejecutaron consultas reproducibles de IA/GEO por tratamiento + Madrid/Chamberí/Goya.,N/D,N/D,Landing; valoración/WhatsApp; ficha Doctoralia de clínica; dos fichas Maps.,"Chamberí: 14; Salamanca–Goya: 5 (reseñas de ficha de clínica, no específicas por tratamiento).",N/D,N/D,N/D,"La landing incluye valoración y WhatsApp; no se dispone de datos de tasa, calidad de lead o reserva efectiva.",N/D,N/D,N/D,P2,P2: solución específica publicada; sin datos críticos completos.,N/D,baja,2026-08-04,Sitemap; soluciones médicas; Doctoralia; Google Maps
