catalogue_key,slug,prod_status,stag_status,prod_h1,stag_h1,prod_price,stag_price,prod_faq,stag_faq,gap_tipo_h1,gap_tipo_price,gap_tipo_faq,drift_status
C11,btl-exilite-ipl-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C12,papada-definicion-mandibular-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C13,calidad-piel-firmeza-luminosidad-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C14,cicatrices-acne-poros-textura-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C15,manchas-rojeces-fotorejuvenecimiento-ipl-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C16,grasa-localizada-abdomen-flancos-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C17,flacidez-grasa-localizada-brazos-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C18,grasa-espalda-zona-sujetador-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C19,flacidez-muslos-internos-subgluteo-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C20,tratamiento-rodillas-grasa-flacidez-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C21,tratamiento-postparto-abdomen-contorno-corporal-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
C22,contorno-corporal-masculino-madrid/,"Error: HTTPSConnectionPool(host='nuvanx.com', port=443): Read timed out. (read timeout=15)","Error: HTTPSConnectionPool(host='staging2.nuvanx.com', port=443): Read timed out. (read timeout=15)",N/D,N/D,N/D,N/D,No,No,contenido_falta_ambos,contenido_falta_ambos,coincide,drift
